"D_pos","mean_points","mean_fga"
"C",29.0649720900605,24.2555365127683
"PF",23.0761417007733,19.0154298819875
"SF",22.5260309613508,18.5841193011514
"PG",22.2868105726035,18.2034726048705
"SG",21.6819185303005,17.7430823208376
